"","Industry","Year","AgeRange","Gender","ALTClaims","NLTClaims","FatClaims"
"819","Education","2012","25-29","Female",32,56,0
"820","Education","2012","25-29","Male",7,34,0
"821","Education","2012","30-34","Female",24,49,0
"822","Education","2012","30-34","Male",18,42,0
"823","Education","2012","35-39","Female",19,47,0
"824","Education","2012","35-39","Male",16,32,0
"825","Education","2012","40-44","Female",36,75,0
"826","Education","2012","40-44","Male",24,44,0
"827","Education","2012","45-49","Female",44,94,0
"828","Education","2012","45-49","Male",25,53,0
"829","Education","2012","50-54","Female",54,123,0
"830","Education","2012","50-54","Male",36,46,0
"831","Education","2012","55-59","Female",44,81,0
"832","Education","2012","55-59","Male",19,51,0
"833","Education","2012","60-64","Female",34,47,0
"834","Education","2012","60-64","Male",17,30,0
"835","Education","2012","65+","Female",9,7,0
"836","Education","2012","65+","Male",2,26,0
"837","Education","2013","15-19","Female",30,114,0
"838","Education","2013","15-19","Male",48,212,0
"839","Education","2013","20-24","Female",16,74,0
"840","Education","2013","20-24","Male",7,53,0
"841","Education","2013","25-29","Female",18,56,0
"842","Education","2013","25-29","Male",12,45,0
"843","Education","2013","30-34","Female",19,64,0
"844","Education","2013","30-34","Male",15,49,0
"845","Education","2013","35-39","Female",27,60,0
"846","Education","2013","35-39","Male",15,36,0
"847","Education","2013","40-44","Female",41,67,0
"848","Education","2013","40-44","Male",15,40,0
"849","Education","2013","45-49","Female",45,81,0
"850","Education","2013","45-49","Male",28,40,0
"851","Education","2013","50-54","Female",50,102,0
"852","Education","2013","50-54","Male",30,57,0
"853","Education","2013","55-59","Female",53,86,0
"854","Education","2013","55-59","Male",26,47,0
"855","Education","2013","60-64","Female",31,47,0
"856","Education","2013","60-64","Male",9,35,0
"857","Education","2013","65+","Female",14,17,0
"858","Education","2013","65+","Male",10,23,0
"859","Education","2014","15-19","Female",28,98,0
"860","Education","2014","15-19","Male",56,186,1
"861","Education","2014","20-24","Female",30,71,0
"862","Education","2014","20-24","Male",14,48,0
"863","Education","2014","25-29","Female",19,87,0
"864","Education","2014","25-29","Male",7,47,0
"865","Education","2014","30-34","Female",25,62,0
"866","Education","2014","30-34","Male",18,56,0
"867","Education","2014","35-39","Female",23,62,0
"868","Education","2014","35-39","Male",24,29,0
"869","Education","2014","40-44","Female",40,91,0
"870","Education","2014","40-44","Male",29,39,0
"871","Education","2014","45-49","Female",38,92,0
"872","Education","2014","45-49","Male",27,37,0
"873","Education","2014","50-54","Female",76,105,0
"874","Education","2014","50-54","Male",35,58,0
"875","Education","2014","55-59","Female",60,91,0
"876","Education","2014","55-59","Male",37,59,0
"877","Education","2014","60-64","Female",36,56,0
"878","Education","2014","60-64","Male",19,31,0
"879","Education","2014","65+","Female",5,17,0
"880","Education","2014","65+","Male",7,23,0
"881","Education","2015","15-19","Female",28,83,0
"882","Education","2015","15-19","Male",49,181,0
"883","Education","2015","20-24","Female",20,70,0
"884","Education","2015","20-24","Male",11,42,0
"885","Education","2015","25-29","Female",16,67,0
"886","Education","2015","25-29","Male",9,24,0
"887","Education","2015","30-34","Female",18,55,0
"888","Education","2015","30-34","Male",5,30,0
"889","Education","2015","35-39","Female",20,63,0
"890","Education","2015","35-39","Male",14,25,0
"891","Education","2015","40-44","Female",30,65,0
"892","Education","2015","40-44","Male",13,35,0
"893","Education","2015","45-49","Female",46,87,0
"894","Education","2015","45-49","Male",14,48,0
"895","Education","2015","50-54","Female",64,101,0
"896","Education","2015","50-54","Male",27,73,0
"897","Education","2015","55-59","Female",45,83,0
"898","Education","2015","55-59","Male",23,58,0
"899","Education","2015","60-64","Female",32,44,0
"900","Education","2015","60-64","Male",20,31,0
"901","Education","2015","65+","Female",9,11,0
"902","Education","2015","65+","Male",4,26,0
"903","Education","2016","15-19","Female",29,98,0
"904","Education","2016","15-19","Male",55,166,0
"905","Education","2016","20-24","Female",27,64,0
"906","Education","2016","20-24","Male",13,39,0
"907","Education","2016","25-29","Female",25,64,0
"908","Education","2016","25-29","Male",15,40,0
"909","Education","2016","30-34","Female",33,51,0
"910","Education","2016","30-34","Male",13,27,0
"911","Education","2016","35-39","Female",31,61,0
"912","Education","2016","35-39","Male",17,24,0
"913","Education","2016","40-44","Female",33,67,0
"914","Education","2016","40-44","Male",19,30,0
